N,Edad,Genero,Ocupacion,Estudios
1,61,Femenino,Hogar,Licenciatura en filosofía
2,71,Masculino,Psicólogo,Licenciatura
3,47,Femenino,Profesionista,
4,37,Masculino,Científico,Doctorado
5,58,Femenino,Bibliotecaria,Maestría
6,38,Femenino,Investigación,Doctorado
7,41,Femenino,Profesionista,Licenciatura
8,71,Femenino,Profesora jubilada,Licenciatura
9,28,Femenino,Médico,Maestría
10,24,Femenino,Estudiante,Licenciatura
11,25,Masculino,Estudiante,Maestría
12,29,Masculino,Médico general,Maestría
13,17,Femenino,Estudiante,Preparatoria
14,54,Masculino,Servidor público,Maestría
15,18,Masculino,Estudiante,Bachillerato incompleto
16,16,Masculino,Estudiante,Preparatoria
17,20,Femenino,Estudiante,Licienciatua en curso
18,32,Femenino,Estudiante,Maestría
19,75,Masculino,Jubilado,Bach.
20,14,Masculino,Estudiante,Secundaria
21,18,Masculino,Estudiante,4to semestre de preparatoria
22,34,Femenino,Empleada,Licianciatura
23,17,Femenino,Estudiante,Preparatoria
24,15,Masculino,Estudiante,Preparatoria
25,39,Femenino,Empleada,Maestría
26,39,Masculino,,Licenciatura
27,23,Masculino,Estudiante,Universidad
28,56,Masculino,Ing. Mecánico,Licenciatura
29,45,Femenino,Comerciante,Secundaria
30,39,Femenino,Psicologa,
31,15,Femenino,Estudiante,2do semetre de prepa
32,29,Femenino,Diseñafora gráfica,Licenciatura
33,17,Femenino,Estudiante,Último año de prepa
34,65,Femenino,Jubilada,Licenciatura
35,53,Femenino,Docente,Licenciatura
36,53,Masculino,Ing Syst,Maestria
37,70,Femenino,Jubilada,Licenciatura
38,19,Masculino,Estudio y trabajo,Preparatoria
39,19,Femenino,Estudiante,
40,17,Masculino,Estudiante,Bachillerato
41,56,Masculino,Investigación,Doctorado
42,22,Femenino,Estudiante,Licenciatura
43,70,Masculino,Jubilado,Licenciatura
44,17,Masculino,Estudiante,Preparatoria
45,17,Femenino,Estudiante,Preparatoria
46,15,Femenino,Estudiante,Preparatoria
47,18,Masculino,Estudiante,Preparatoria 6to grado
48,17,Femenino,Estudiante,Bachillerato
49,21,Masculino,Estudiante/Trabajador,Licenciatura
50,48,Masculino,Empleado,Posgrado
51,50,Femenino,Oficina,Ingeniería
52,40,Femenino,Profesora,Maestria
53,37,Femenino,Empleada,Licenciatura
54,49,Masculino,Maestro,Licenciatura
55,58,Masculino,Docente,Maestría
56,25,Masculino,Estudiante,Licenciatura